Sr. No.,Year,CATEGORY,TITLE,DIRECTOR,PRODUCER,LANGUAGE,AWARDS
1,63rd NFA - 2015,FEATURE,BAAHUBALI - THE BEGINNING,S.S.RAJAMOULI,ARKA MEDIAWORKS,TELGU,BEST FEATURE FILM BEST SPECIAL EFFECT - V. SRINIVAS MOHAN
2,63rd NFA - 2015,FEATURE,BAJIRAO MASTANI,SANJAY LEELA BHANSALI,EROS INTERNATIONAL AND BHANSALI PRODUCTIONS,HINDI,"BEST DIRECTION BEST SUPPORTING ACTRESS - TANVI AZMI BEST CINEMATOGRAPHY - SUDEEP CHATTERJEE BEST AUDIOGRAPHY (DOUND DESIGNER) - BISHWADEEP CHATTERJEE BEST AUDIOGRAPHY (Re-recordist of the final mixed track) - JUSTIN JOSE BEST PRODUCTION DESIGN - SUJEET SAWANT, SALONI DHATRIK, SRIRAM IYENGAR BEST CHOREOGRAPHY - REMO D'SOUZA"
3,63rd NFA - 2015,FEATURE,BAJRANGI BHAIJAAN,KABIR KHAN,"SALMA KHAN ,SALMAN KHAN & ROCKLINE VENKATESH",HINDI,BEST POPULAR FILM PROVIDING WHOLESOME ENTERTAINMENT
4,63rd NFA - 2015,FEATURE,BEN,DR. SAJAN K. GEORGE,VIBGYOR CINEMA,MALAYALAM,BEST CHILD ARTIST - GAURAV MENON
5,63rd NFA - 2015,FEATURE,CHAUTHI KOOT,GURVINDER SINGH,NATIONAL FILM DEVELOPMENT CORPORATION & THE FILM CAFE ENTERTAINMENT PVT. LTD,NA,BEST PUNJABI FILM
6,63rd NFA - 2015,FEATURE,DAU HUDUNI METHAI,MANJU BORAH,SHIVEN ARTS,BODO,BEST BODO FILM
7,63rd NFA - 2015,FEATURE,DUM LAGA KE HAISHA,SHARAT KATARIYA,MANEESH SHARMA,HINDI,BEST FEMALE PLAYBACK SINGER - MONALI THAKUR BEST LYRICS - VARUN GROVER BEST HINDI FILM
8,63rd NFA - 2015,FEATURE,DURONTO,SOUMENDRA PADHI,CODE RED FILMS,HINDI,BEST CHILDREN'S FILM
9,63rd NFA - 2015,FEATURE,EIBUSU YAOHANBIYU,MAIPAKSANA HAORONGBAM,LIVING ART (Y. HITALAR SINGH [NETA]),MANIPURI,BEST MANIPURI FILM
10,63rd NFA - 2015,FEATURE,ENEMY,DINESH P. BHONSLE,PRASAD CREATIONS,KONKANI,BEST KONKANI FILM
11,63rd NFA - 2015,FEATURE,ENNU NINTE MOIDEEN,R.S. VIMAL,"SURESH RAJ, BINOY SHANKARATH & RAGY THOMAS",MALAYALAM,BEST MUSIC DIRECTION (Songs) - M. JAYACHANDRAN
12,63rd NFA - 2015,FEATURE,IRUDHI SUTTRU,SUDHA KONGARA,S. SASHIKANTH,TAMIL,SPECIAL MENTION
13,63rd NFA - 2015,FEATURE,KANCHE,RADHA KRISHNA JAGARLAMUDI,FIRST FRAME ENTERTAINMENTS PVT. LTD,TELUGU,BEST TELUGU FILM
14,63rd NFA - 2015,FEATURE,KATYAR KALJAT GHUSLI,SUBODH BHAVE,SUNIL PHADTARE,MARATHI,BEST MALE PLAYBACK SINGER - MAHESH KALE
15,63rd NFA - 2015,FEATURE,KIMA’S LODE BEYOND THE CLASS,ZUALA CHHANGTE,CHILDREN'S FILM SOCIETY OF INDIA,MIZO,BEST MIZO FILM
16,63rd NFA - 2015,FEATURE,KOTHANODI,BHASKAR HAZARIKA,METANORMAL MOTION PICTURES,ASSAMESE,BEST ASSAMESE FILM
17,63rd NFA - 2015,FEATURE,LUKKA CHUPPI,BASH MOHAMMED,BASH MOHAMMED,MALAYALAM,SPECIAL MENTION
18,63rd NFA - 2015,FEATURE,MARGARITA WITH STRAW,"SHONALI BOSE, NILESH MANIYAR","SHONALI BOSE, NILESH MANIYAR",HINDI |,SPECIAL JURY AWARD
19,63rd NFA - 2015,FEATURE,MASAAN,NEERAJ GHAYWAN,"PHANTOM FILMS, DRISHYAM FILMS, MACASSAR PRODUCTIONS AND SIKHYA ENTERTAINMENT",HINDI,INDIRA GANDHI AWARD FOR BEST DEBUT FILM OF A DIRECTOR
20,63rd NFA - 2015,FEATURE,MITHILA MAKHAAN,NITIN CHANDRA,CHAMPARAN TALKIES & ASWATHA TREE,MAITHILI,BEST MAITHILI FILM
21,63rd NFA - 2015,FEATURE,NANAK SHAH FAKIR,A. K. BIR,GURBANI MEDIA PRIVATE LIMITED HARINDER S. SIKKA),HINDI,"NARGIS DUTT AWARD FOR BEST FEATURE FILM ON NATIONAL INTEGRATION BEST COSTUME DESIGNER - PAYAL SALUJA BEST MAKE-UP ARTIST - CLOVER WOOTTON, PREETISHEEL SINGH"
22,63rd NFA - 2015,FEATURE,NIRNAYAKAM,V.K. PRAKASH,JAIRAJ FILMS,MALAYALAM,BEST FILM ON SOCIAL ISSUES
23,63rd NFA - 2015,FEATURE,ONAATAH,PRADIP KURBAH,KURBAH FILMS,KHASI,BEST KHASI FILM
24,63rd NFA - 2015,FEATURE,PAHADA RA LUHA,SABYASACHI MOHAPATRA,MOHAPATRA MOVIE MAGIC PVT. LTD,ODIYA,BEST ODIYA FILM
25,63rd NFA - 2015,FEATURE,PATHEMARI,SALIM AHAMED,ALLENS MEDIA,MALAYALAM,BEST MALAYALAM FILM
26,63rd NFA - 2015,FEATURE,PIKU,SHOOJIT SIRCAR,MSM MOTION PICTURES & SARASWATI ENTERTAINMENT AND RISING SUN FILMS,HINDI,BEST ACTOR - AMITABH BACHCHAN BEST Screenplay Writer (Original) & BEST SCREENPLAY (DIALOGUE) - JUHI CHATURVEDI
27,63rd NFA - 2015,FEATURE,PRIYAMANASAM,VINOD MANKARA,SOMA CREATIONS,SANSKRI,BEST SANSKRIT FILM
28,63rd NFA - 2015,FEATURE,RINGAN,MAKARAND MANE,MY ROLE MOTION PICTURES,NA,BEST MARATHI FILM
29,63rd NFA - 2015,FEATURE,SAIRAT,NAGRAJ MANJULE,"NITTIN KENI, NIKHIL SANE",MARATHI,SPECIAL MENTION
30,63rd NFA - 2015,FEATURE,SATRANGI,SUNDEEP SHARMA,HANSVIDYA MOVIES,HARYANVI,BEST HARYANVI FILM
31,63rd NFA - 2015,FEATURE,SHANKHACHIL,GOUTAM GHOSE,NIDEAS CREATIONS & PRODUCTIONS PVT LTD,BENGALI,BEST BENGALI FILM
32,63rd NFA - 2015,FEATURE,SU SU SUDHI VATHMEEKAM,RANJIT SHANKAR,JAYASURYA,MALAYALAM,SPECIAL MENTION
33,63rd NFA - 2015,FEATURE,TALVAR,MEGHNA GULZAR,JUNGLEE PICTURES & VB PI C TUR E S,HINDI,BEST Screenplay Writer (Adapted) - VISHAL BHARDWAJ BEST AUDIOGRAPHY (ON Location Sound Recordist) - SANJAY KURIAN
34,63rd NFA - 2015,FEATURE,TANU WEDS MANU RETURN,AANAND L. RAI,KRISHIKA LULLA AND AANAND L. RAI,HINDI,BEST ACTRESS - KANGNA RANAUT BEST Screenplay Writer (Original) & BEST SCREENPLAY (DIALOGUE) - HIMANSHU SHARMA
35,63rd NFA - 2015,FEATURE,THAARAI THAPPATTAI,BALA, COMPANY PRODUCTIONS (M. SASIKUMAR),TAMI,BEST MUSIC DIRECTION (Background Score) - ILAIYARAAJA
36,63rd NFA - 2015,FEATURE,THE HEAD HUNTER,NILANJAN DATTA,SPLASH FILMS PRIVATE LIMITED,WANCHO,BEST WANCHO FILM
37,63rd NFA - 2015,FEATURE,THITHI,RAAM REDDY,PRSPCTVS PRODUCTIONS PVT. LTD,KANNADA,BEST KANNADA FILM
38,63rd NFA - 2015,FEATURE,VALIYA CHIRAKULLA PAKSHIKAL,DR BIJU,MAYA MOVIES,"MALAYALAM, ENGLISH, FRENCH",BEST FILM ON ENVIRONMENT CONSERVATION/ PRESERVATION
39,63rd NFA - 2015,FEATURE,VISAARANAI,VETRI MAARAN,WUNDERBAR FILMS,TAMIL,BEST SUPPORTING ACTOR - P. SAMUTHIRAKANI BEST EDITING - KISHORE T. E. BEST TAMIL FILM
40,63rd NFA - 2015,NON - FEATURE,A FAR AFTERNOON –A PAINTED SAGA[440],SRUTI HARIHARA SUBRAMANIAN,PIRAMAL ART FOUNDATION,HINDI. ENG,BEST ARTS/CULTURAL FILM
41,63rd NFA - 2015,NON - FEATURE,AMDAVAD MA FAMOUS [342],HARDIK MEHTA,AKANKSHA TIWARI & ARYA MENON,GUJRATI,NA
42,63rd NFA - 2015,NON - FEATURE,AMMA[347],NEELAN,LEELA K.N,MALAYALAM,NA
43,63rd NFA - 2015,NON - FEATURE,AOLEANG[349],RANAJIT RAY,MAULANA ABUL KALAM AZAD INSTITUTE OF ASIAN STUDIES,ENGLISH,BEST ANTHROPOLOGICAL/ ETHNOGRAPHIC FILM
44,63rd NFA - 2015,NON - FEATURE,ARANI[408], Raa Prasad,NA,MALAYALAM,NA
45,63rd NFA - 2015,NON - FEATURE,AUSHADH[352],AMOL DESHMUKH,PRAGATI PRODUCTIONS,MARATHI,BEST SHORT FICTION FILM
46,63rd NFA - 2015,NON - FEATURE,AUTO DRIVER[298],LONGJAM MEENA DEV,OURVILLAGE FILMS & AIRAMEEN MEDIA,MANIPURI,BEST FILM ON SOCIAL ISSUES
47,63rd NFA - 2015,NON - FEATURE,BENARAS: THE UNEXPLORED ATTACHMENTS,AMARTYA BHATTACHARYYA,RAHUL BHATTACHARYYA,BENGALI,BEST CINEMATOGRAPHY
48,63rd NFA - 2015,NON - FEATURE,BEST FRIENDS FOREVER,SANDEEP MODI,EDUMEDIA INDIA PVT.LTD,ENGLISH,BEST FILM ON FAMILY VALUES
49,63rd NFA - 2015,NON - FEATURE,BREAKING FREE[392],SRIDHAR RANGAYAN,"SRIDHAR RANGAYAN, SAAGAR GUPTA",ENGLISH,BEST EDITING
50,63rd NFA - 2015,NON - FEATURE,ARANGILE NITHYA VISMAYAM GURU CHEMANCHERRY KUNHIRAMAN NAIR,VATTAPARA RAMCHANDARAN,P PREMARAJAN,KANNADA,NA
51,63rd NFA - 2015,NON - FEATURE,DAARAVTHA[433],NISHANTROY BOMBARDE,NISHANTROY BOMBARDE,MARATHI,BEST DEBUT FILM OF A DIRECTOR
52,63rd NFA - 2015,NON - FEATURE,DRIBBLING WITH THEIR FUTURE[341],JACOB VARGHESE,N. DINESH RAJKUMAR & MATHEW VARGHESE,ENGLISH | TAMIL | KANNADA,BEST EXPLORATION/ ADVENTURE FILM
53,63rd NFA - 2015,NON - FEATURE,EDPA KANA[385],NIRANJAN KUMAR KUJUR,"SANJAYA PATTANAYAK, SRFTI",KUDUKH,BEST AUDIOGRAPHY
54,63rd NFA - 2015,NON - FEATURE,FISHER WOMAN AND TUK TUK[386],SURESH ERIYAT,NILIMA ERIYAT & STUDIO EEKSAURUS PRODUCTIONS PVT. LTD,NO DIALOGUE,BEST ANIMATION FILM
55,63rd NFA - 2015,NON - FEATURE,GOD ON THE EDGE[404],ASHOK PATE,SHEELWANT PATEL & ELEMENTS PICTURE STUDIO,ENGLISH | BENGALI,BEST ENVIRONMENT FILM
56,63rd NFA - 2015,NON - FEATURE,IN SEARCH OF FDING CANVAS[435],MANOHAR SINGH BISHT,FILMS DIVISION,HINDI,SPECIAL JURY AWARD
57,63rd NFA - 2015,NON - FEATURE,KAMUKI[387],Christo Tomy,Satyajit Ray Film & Television Institute,MALAYALAM,BEST DIRECTION
58,63rd NFA - 2015,NON - FEATURE,LIFE IN METAPHORS; A PORTRAIT OF GIRISH KASARAVALLI[343],O.P. SRIVASTAVA,USHA SRIVASTAVA (REELISM FILMS),ENGLISH | KANNADA,BEST BIOGRAPHICAL/ HISTORICAL RECONSTRUCTION
59,63rd NFA - 2015,NON - FEATURE,MALA LAJ WATAT NAHAI[372],DEEPAK HALDANKA,"DHRUVEE HALDANKAR, FILMSMITH'S",MARATHI | HINDI | ENGLISH,BEST NARRATION/VOICE-OVER
60,63rd NFA - 2015,NON - FEATURE,PAYWAT[350],NAYANA DOLAS & MITHUNCHANDRA CHAUDHARI,MITHUNCHANDRA CHAUDHARI,MARATHI,BEST EDUCATIONAL FILM
61,63rd NFA - 2015,NON - FEATURE,SYAAHI,Varun Tandon,Rajneesh Deku,HINDI,NA
62,63rd NFA - 2015,NON - FEATURE,TEZPUR 1962 [432],SAMUJJAL KASHYAP,FILMS DIVISION,ENGLISH,BEST INVESTIGATIVE FILM
63,63rd NFA - 2015,NON - FEATURE,THE CHAMELEON,Arun Shankar,Belove N. Jhaveri,"HINDI,ENGLISH",NA
64,63rd NFA - 2015,NON - FEATURE,THE MAN WHO DWARFED THE MOUNTAINS[333],RUCHI SHRIVASTAVA & SUMIT SUNDERLAL KHANNA,RAJIV MEHROTRA & PSBT,HINDI | ENGLISH,BEST ENVIRONMENT FILM
65,63rd NFA - 2015,NON - FEATURE,WEAVES OF MAHESHWAR[378],KEYA VASWANI & NIDHI KAMATH,STORYLOOM FILMS,HINDI | ENGLISH,BEST PROMOTIONAL FILM
66,63rd NFA - 2015,NON - FEATURE,YAZHPANAM THEDCHANAMOORTHY MUSIC BEYOND BOUNDARIES[422],AMSHAN KUMAR,RAJEEV ANAND & SIDDHARTHA PRODUCTIONS,TAMIL,BEST ARTS/CULTURAL FILM
67,64th NFA - 2016,FEATURE,ALIFA,DEEP CHOUDHURY,ARMAN PRODUCTION,BENGALI,BEST DEBUT FILM OF A DIRECTOR
68,64th NFA - 2016,FEATURE,ALLAMA,T S NAGABHARANA,YAJAMAN ENTERPRISES,KANNADA,"BEST MUSIC DIRECTOR (SONGS & BACKGROUND SCORE) , BEST MAKEUP ARTIST (N K RAMAKRISHNA)"
69,64th NFA - 2016,FEATURE,BISORJON,KAUSHIK GANGULY,OPERA MOVIES,BENGALI,BEST BENGALI FILM AWARD
